strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
630.0,0.8516,118.06,117.5519,117.8953,118.7815,119.9715,134.4122,-0.5081,-0.1647,0.7215,1.9115,16.3522
635.0,0.8584,90.65,112.7185,113.0931,114.0605,115.1574,129.742,22.0685,22.4431,23.4105,24.5074,39.092
640.0,0.8652,109.91,107.9124,108.3161,109.3666,110.3705,125.1033,-1.9976,-1.5939,-0.5434,0.4605,15.1933
645.0,0.8719,102.33,103.1387,103.5682,104.7045,105.6159,120.5017,0.8087,1.2382,2.3745,3.2859,18.1717
650.0,0.8787,101.0,98.4034,98.8537,100.0789,100.8999,115.9428,-2.5966,-2.1463,-0.9211,-0.1001,14.9428
655.0,0.8854,95.76,93.713,94.1776,95.4931,96.2286,111.4334,-2.047,-1.5824,-0.2669,0.4686,15.6734
660.0,0.8922,91.91,89.0743,89.5452,90.9496,91.6092,106.9798,-2.8357,-2.3648,-0.9604,-0.3008,15.0698
665.0,0.899,86.23,84.4951,84.9623,86.4508,87.0492,102.5898,-1.7349,-1.2677,0.2208,0.8192,16.3598
670.0,0.9057,81.84,79.9832,80.4353,82.0,82.5565,98.2707,-1.8568,-1.4047,0.16,0.7165,16.4307
675.0,0.9125,78.27,75.547,75.9711,77.6017,78.1395,94.0303,-2.723,-2.2989,-0.6683,-0.1305,15.7603
680.0,0.9192,74.63,71.1952,71.5769,73.262,73.8068,89.8764,-3.4348,-3.0531,-1.368,-0.8232,15.2464
685.0,0.926,70.35,66.9366,67.2605,68.9881,69.5674,85.8173,-3.4134,-3.0895,-1.3619,-0.7826,15.4673
690.0,0.9327,64.56,62.7798,63.0299,64.7868,65.4299,81.8607,-1.7802,-1.5301,0.2268,0.8699,17.3007
695.0,0.9395,61.43,58.7337,58.8935,60.6646,61.403,78.0144,-2.6963,-2.5365,-0.7654,-0.027,16.5844
700.0,0.9463,57.21,54.8065,54.8598,56.6273,57.495,74.2857,-2.4035,-2.3502,-0.5827,0.285,17.0757
705.0,0.953,53.79,51.0063,50.9376,52.6801,53.714,70.6816,-2.7837,-2.8524,-1.1099,-0.076,16.8916
710.0,0.9598,49.0,47.3404,47.1354,48.8288,50.0673,67.2084,-1.6596,-1.8646,-0.1712,1.0673,18.2084
715.0,0.9665,45.53,43.8157,43.4616,45.0803,46.5618,63.8721,-1.7143,-2.0684,-0.4497,1.0318,18.3421
720.0,0.9733,41.71,40.4381,39.9244,41.4426,43.2034,60.6775,-1.2719,-1.7856,-0.2674,1.4934,18.9675
725.0,0.9801,38.12,37.2126,36.5316,37.925,39.9971,57.629,-0.9074,-1.5884,-0.195,1.8771,19.509
730.0,0.9868,35.4,34.1433,33.2902,34.5372,36.947,54.7299,-1.2567,-2.1098,-0.8628,1.547,19.3299
735.0,0.9936,32.0,31.2332,30.2065,31.2889,34.0561,51.9826,-0.7668,-1.7935,-0.7111,2.0561,19.9826
740.0,1.0003,28.6,28.4842,27.2858,28.1892,31.3263,49.3886,-0.1158,-1.3142,-0.4108,2.7263,20.7886
745.0,1.0071,25.78,25.8971,24.5327,25.2464,28.7584,46.9485,0.1171,-1.2473,-0.5336,2.9784,21.1685
750.0,1.0139,22.2,23.4717,21.9503,22.4684,26.3522,44.6618,1.2717,-0.2497,0.2684,4.1522,22.4618
755.0,1.0206,19.85,21.2064,19.5405,19.8627,24.1062,42.5273,1.3564,-0.3095,0.0127,4.2562,22.6773
