strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
630.0,0.8516,159.1,161.3379,166.8911,166.1479,163.2083,182.4627,2.2379,7.7911,7.0479,4.1083,23.3627
635.0,0.8584,162.39,157.451,162.9155,162.2447,159.3363,178.6777,-4.939,0.5255,-0.1453,-3.0537,16.2877
640.0,0.8652,159.97,153.6086,158.9702,158.3686,155.5087,174.9367,-6.3614,-0.9998,-1.6014,-4.4613,14.9667
645.0,0.8719,154.42,149.8118,155.0564,154.5221,151.7269,171.2412,-4.6082,0.6364,0.1021,-2.6931,16.8212
650.0,0.8787,152.22,146.0619,151.1749,150.7086,147.9918,167.5924,-6.1581,-1.0451,-1.5114,-4.2282,15.3724
655.0,0.8854,142.36,142.36,147.3271,146.9314,144.3047,163.9919,0.0,4.9671,4.5714,1.9447,21.6319
660.0,0.8922,143.44,138.7072,143.5139,143.192,140.6667,160.4408,-4.7328,0.0739,-0.248,-2.7733,17.0008
665.0,0.899,140.13,135.1043,139.7364,139.4895,137.0788,156.9405,-5.0257,-0.3936,-0.6405,-3.0512,16.8105
670.0,0.9057,130.2,131.5526,135.9957,135.8224,133.5418,153.4918,1.3526,5.7957,5.6224,3.3418,23.2918
675.0,0.9125,127.74,128.0527,132.293,132.1891,130.0569,150.0962,0.3127,4.553,4.4491,2.3169,22.3562
680.0,0.9192,128.54,124.6057,128.6294,128.5895,126.6246,146.7546,-3.9343,0.0894,0.0495,-1.9154,18.2146
685.0,0.926,126.93,121.2122,125.006,125.0254,123.2459,143.4681,-5.7178,-1.924,-1.9046,-3.6841,16.5381
690.0,0.9327,119.45,117.8731,121.424,121.4999,119.9218,140.2375,-1.5769,1.974,2.0499,0.4718,20.7875
695.0,0.9395,119.05,114.589,117.8844,118.0162,116.6525,137.0637,-4.461,-1.1656,-1.0338,-2.3975,18.0137
700.0,0.9463,116.14,111.3605,114.3884,114.5761,113.4388,133.9476,-4.7795,-1.7516,-1.5639,-2.7012,17.8076
705.0,0.953,112.25,108.1883,110.9371,111.1801,110.2814,130.8897,-4.0617,-1.3129,-1.0699,-1.9686,18.6397
710.0,0.9598,109.96,105.0726,107.5316,107.8273,107.1806,127.8908,-4.8874,-2.4284,-2.1327,-2.7794,17.9308
715.0,0.9665,105.07,102.0141,104.173,104.5159,104.1369,124.9514,-3.0559,-0.897,-0.5541,-0.9331,19.8814
720.0,0.9733,101.92,99.013,100.8623,101.2452,101.1508,122.0721,-2.907,-1.0577,-0.6748,-0.7692,20.1521
725.0,0.9801,98.31,96.0697,97.6007,98.0156,98.2223,119.2532,-2.2403,-0.7093,-0.2944,-0.0877,20.9432
730.0,0.9868,95.29,93.1844,94.3891,94.829,95.3518,116.4951,-2.1056,-0.9009,-0.461,0.0618,21.2051
735.0,0.9936,93.45,90.3572,91.2285,91.688,92.5394,113.7981,-3.0928,-2.2215,-1.762,-0.9106,20.3481
740.0,1.0003,88.96,87.5883,88.12,88.5955,89.7853,111.1624,-1.3717,-0.84,-0.3645,0.8253,22.2024
745.0,1.0071,87.98,84.8777,85.0646,85.553,87.0895,108.5883,-3.1023,-2.9154,-2.427,-0.8905,20.6083
750.0,1.0139,84.13,82.2254,82.063,82.561,84.4521,106.0756,-1.9046,-2.067,-1.569,0.3221,21.9456
755.0,1.0206,79.62,79.6313,79.1162,79.6186,81.8729,103.6243,0.0113,-0.5038,-0.0014,2.2529,24.0043
760.0,1.0274,78.0,77.0953,76.2251,76.7247,79.3518,101.2344,-0.9047,-1.7749,-1.2753,1.3518,23.2344
765.0,1.0341,73.83,74.6172,73.3904,73.8781,76.8885,98.906,0.7872,-0.4396,0.0481,3.0585,25.076
770.0,1.0409,66.89,72.1968,70.6129,71.0789,74.483,96.6385,5.3068,3.7229,4.1889,7.593,29.7485
775.0,1.0477,68.04,69.8338,67.8933,68.3282,72.1348,94.4317,1.7938,-0.1467,0.2882,4.0948,26.3917
780.0,1.0544,66.8,67.5278,65.2322,65.6282,69.8437,92.2854,0.7278,-1.5678,-1.1718,3.0437,25.4854
785.0,1.0612,63.73,65.2785,62.6303,62.9812,67.6092,90.1993,1.5485,-1.0997,-0.7488,3.8792,26.4693
790.0,1.0679,61.54,63.0854,60.0881,60.3891,65.4309,88.1726,1.5454,-1.4519,-1.1509,3.8909,26.6326
795.0,1.0747,58.93,60.948,57.6061,57.8528,63.3084,86.2051,2.018,-1.3239,-1.0772,4.3784,27.2751
