strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
629.0,0.8503,87.34,112.526,112.5261,112.5242,115.1627,136.986,25.186,25.1861,25.1842,27.8227,49.646
630.0,0.8516,104.77,111.5288,111.529,111.5275,114.1697,136.0276,6.7588,6.759,6.7575,9.3997,31.2576
631.0,0.853,106.41,110.5317,110.5318,110.5308,113.1767,135.0694,4.1217,4.1218,4.1208,6.7667,28.6594
634.0,0.857,93.88,107.5402,107.5405,107.5409,110.1979,132.1945,13.6602,13.6605,13.6609,16.3179,38.3145
635.0,0.8584,98.12,106.543,106.5433,106.5442,109.2049,131.2361,8.423,8.4233,8.4242,11.0849,33.1161
636.0,0.8597,98.1,105.5459,105.5462,105.5476,108.212,130.2779,7.4459,7.4462,7.4476,10.112,32.1779
640.0,0.8652,99.25,101.5574,101.558,101.5608,104.2402,126.4447,2.3074,2.308,2.3108,4.9902,27.1947
642.0,0.8679,93.42,99.5632,99.5639,99.5672,102.2543,124.5281,6.1432,6.1439,6.1472,8.8343,31.1081
644.0,0.8706,74.4,97.5691,97.57,97.5734,100.2686,122.6116,23.1691,23.17,23.1734,25.8686,48.2116
645.0,0.8719,92.42,96.5721,96.5731,96.5764,99.2758,121.6533,4.1521,4.1531,4.1564,6.8558,29.2333
646.0,0.8733,92.61,95.5751,95.5762,95.5794,98.2831,120.695,2.9651,2.9662,2.9694,5.6731,28.085
647.0,0.8746,68.35,94.5781,94.5794,94.5824,97.2903,119.7366,26.2281,26.2294,26.2324,28.9403,51.3866
648.0,0.876,66.74,93.5812,93.5826,93.5854,96.2975,118.7784,26.8412,26.8426,26.8454,29.5575,52.0384
649.0,0.8773,67.2,92.5843,92.5858,92.5884,95.3048,117.8201,25.3843,25.3858,25.3884,28.1048,50.6201
650.0,0.8787,90.0,91.5874,91.5891,91.5913,94.3121,116.8618,1.5874,1.5891,1.5913,4.3121,26.8618
651.0,0.88,85.29,90.5906,90.5925,90.5944,93.3195,115.9036,5.3006,5.3025,5.3044,8.0295,30.6136
652.0,0.8814,67.74,89.5938,89.5959,89.5974,92.3269,114.9453,21.8538,21.8559,21.8574,24.5869,47.2053
653.0,0.8827,84.18,88.5972,88.5995,88.6006,91.3344,113.987,4.4172,4.4195,4.4206,7.1544,29.807
654.0,0.8841,82.95,87.6005,87.6031,87.6038,90.342,113.0287,4.6505,4.6531,4.6538,7.392,30.0787
655.0,0.8854,84.87,86.604,86.6068,86.6072,89.3497,112.0704,1.734,1.7368,1.7372,4.4797,27.2004
656.0,0.8868,61.65,85.6076,85.6106,85.6106,88.3574,111.1122,23.9576,23.9606,23.9606,26.7074,49.4622
657.0,0.8881,78.46,84.6112,84.6145,84.6143,87.3653,110.1539,6.1512,6.1545,6.1543,8.9053,31.6939
658.0,0.8895,70.29,83.615,83.6186,83.6181,86.3733,109.1957,13.325,13.3286,13.3281,16.0833,38.9057
659.0,0.8908,66.62,82.619,82.6229,82.6222,85.3814,108.2374,15.999,16.0029,16.0022,18.7614,41.6174
660.0,0.8922,75.44,81.623,81.6273,81.6265,84.3896,107.2792,6.183,6.1873,6.1865,8.9496,31.8392
661.0,0.8935,81.23,80.6273,80.6319,80.631,83.3981,106.3208,-0.6027,-0.5981,-0.599,2.1681,25.0908
662.0,0.8949,54.37,79.6317,79.6367,79.6359,82.4068,105.3626,25.2617,25.2667,25.2659,28.0368,50.9926
663.0,0.8962,56.44,78.6364,78.6417,78.6411,81.4157,104.4045,22.1964,22.2017,22.2011,24.9757,47.9645
664.0,0.8976,74.13,77.6413,77.647,77.6466,80.4247,103.4463,3.5113,3.517,3.5166,6.2947,29.3163
665.0,0.899,70.21,76.6465,76.6526,76.6525,79.4342,102.4881,6.4365,6.4426,6.4425,9.2242,32.2781
666.0,0.9003,61.03,75.652,75.6585,75.6587,78.4438,101.5299,14.622,14.6285,14.6287,17.4138,40.4999
667.0,0.9017,72.93,74.6578,74.6647,74.6655,77.4538,100.5719,1.7278,1.7347,1.7355,4.5238,27.6419
668.0,0.903,67.27,73.664,73.6713,73.6727,76.4642,99.6138,6.394,6.4013,6.4027,9.1942,32.3438
669.0,0.9044,71.51,72.6706,72.6784,72.6804,75.4749,98.6557,1.1606,1.1684,1.1704,3.9649,27.1457
670.0,0.9057,71.97,71.6776,71.6859,71.6886,74.4862,97.6977,-0.2924,-0.2841,-0.2814,2.5162,25.7277
671.0,0.9071,71.66,70.6852,70.6939,70.6974,73.4979,96.7398,-0.9748,-0.9661,-0.9626,1.8379,25.0798
672.0,0.9084,68.06,69.6933,69.7024,69.7068,72.5102,95.782,1.6333,1.6424,1.6468,4.4502,27.722
673.0,0.9098,62.39,68.7021,68.7116,68.7169,71.5232,94.8241,6.3121,6.3216,6.3269,9.1332,32.4341
674.0,0.9111,46.66,67.7115,67.7214,67.7276,70.5368,93.8665,21.0515,21.0614,21.0676,23.8768,47.2065
675.0,0.9125,65.44,66.7216,66.7319,66.7392,69.5512,92.9089,1.2816,1.2919,1.2992,4.1112,27.4689
676.0,0.9138,62.1,65.7326,65.7432,65.7515,68.5663,91.9514,3.6326,3.6432,3.6515,6.4663,29.8514
677.0,0.9152,62.39,64.7445,64.7553,64.7647,67.5823,90.9942,2.3545,2.3653,2.3747,5.1923,28.6042
678.0,0.9165,50.96,63.7573,63.7684,63.7788,66.5993,90.0371,12.7973,12.8084,12.8188,15.6393,39.0771
679.0,0.9179,57.24,62.7712,62.7825,62.794,65.6175,89.0803,5.5312,5.5425,5.554,8.3775,31.8403
680.0,0.9192,61.34,61.7863,61.7976,61.8102,64.6367,88.1236,0.4463,0.4576,0.4702,3.2967,26.7836
681.0,0.9206,59.34,60.8026,60.814,60.8276,63.6573,87.1673,1.4626,1.474,1.4876,4.3173,27.8273
682.0,0.9219,42.68,59.8203,59.8316,59.8462,62.6791,86.2113,17.1403,17.1516,17.1662,19.9991,43.5313
683.0,0.9233,59.62,58.8394,58.8506,58.8662,61.7025,85.2557,-0.7806,-0.7694,-0.7538,2.0825,25.6357
684.0,0.9246,52.62,57.8602,57.8711,57.8877,60.7274,84.3004,5.2402,5.2511,5.2677,8.1074,31.6804
685.0,0.926,57.79,56.8827,56.8932,56.9107,59.754,83.3457,-0.9073,-0.8968,-0.8793,1.964,25.5557
686.0,0.9273,51.74,55.9071,55.917,55.9354,58.7827,82.3916,4.1671,4.177,4.1954,7.0427,30.6516
687.0,0.9287,54.16,54.9335,54.9427,54.962,57.8133,81.4381,0.7735,0.7827,0.802,3.6533,27.2781
688.0,0.93,54.83,53.962,53.9703,53.9905,56.846,80.4852,-0.868,-0.8597,-0.8395,2.016,25.6552
689.0,0.9314,52.72,52.9929,53.0001,53.0212,55.8811,79.5333,0.2729,0.2801,0.3012,3.1611,26.8133
690.0,0.9327,52.28,52.0263,52.0322,52.0541,54.9187,78.5822,-0.2537,-0.2478,-0.2259,2.6387,26.3022
691.0,0.9341,46.79,51.0624,51.0668,51.0894,53.959,77.6324,4.2724,4.2768,4.2994,7.169,30.8424
692.0,0.9355,49.02,50.1013,50.104,50.1274,53.0021,76.6835,1.0813,1.084,1.1074,3.9821,27.6635
693.0,0.9368,50.24,49.1433,49.1439,49.1681,52.0483,75.7359,-1.0967,-1.0961,-1.0719,1.8083,25.4959
694.0,0.9382,27.95,48.1886,48.1869,48.2119,51.0978,74.7898,20.2386,20.2369,20.2619,23.1478,46.8398
695.0,0.9395,48.15,47.2373,47.233,47.2588,50.1506,73.8453,-0.9127,-0.917,-0.8912,2.0006,25.6953
696.0,0.9409,46.14,46.2898,46.2826,46.3091,49.2073,72.9027,0.1498,0.1426,0.1691,3.0673,26.7627
697.0,0.9422,44.79,45.3461,45.3357,45.3629,48.2678,71.9621,0.5561,0.5457,0.5729,3.4778,27.1721
698.0,0.9436,42.55,44.4066,44.3926,44.4207,47.3325,71.0235,1.8566,1.8426,1.8707,4.7825,28.4735
699.0,0.9449,43.88,43.4715,43.4535,43.4825,46.4016,70.0876,-0.4085,-0.4265,-0.3975,2.5216,26.2076
700.0,0.9463,43.33,42.5411,42.5187,42.5485,45.4753,69.1541,-0.7889,-0.8113,-0.7815,2.1453,25.8241
701.0,0.9476,35.87,41.6155,41.5884,41.6191,44.5541,68.2239,5.7455,5.7184,5.7491,8.6841,32.3539
702.0,0.949,40.43,40.6952,40.6629,40.6946,43.6378,67.2966,0.2652,0.2329,0.2646,3.2078,26.8666
703.0,0.9503,38.82,39.7802,39.7424,39.775,42.7271,66.3728,0.9602,0.9224,0.955,3.9071,27.5528
704.0,0.9517,38.46,38.871,38.8272,38.8608,41.8221,65.4531,0.411,0.3672,0.4008,3.3621,26.9931
705.0,0.953,39.76,37.9678,37.9176,37.9522,40.923,64.5372,-1.7922,-1.8424,-1.8078,1.163,24.7772
706.0,0.9544,36.98,37.0709,37.0137,37.0494,40.0304,63.626,0.0909,0.0337,0.0694,3.0504,26.646
707.0,0.9557,35.91,36.1805,36.116,36.1528,39.1442,62.7196,0.2705,0.206,0.2428,3.2342,26.8096
708.0,0.9571,25.26,35.2971,35.2248,35.2626,38.2649,61.8185,10.0371,9.9648,10.0026,13.0049,36.5585
709.0,0.9584,34.4,34.4208,34.3402,34.3791,37.3928,60.923,0.0208,-0.0598,-0.0209,2.9928,26.523
710.0,0.9598,34.56,33.552,33.4626,33.5026,36.5282,60.0335,-1.008,-1.0974,-1.0574,1.9682,25.4735
711.0,0.9611,32.2,32.6909,32.5924,32.6334,35.6714,59.1506,0.4909,0.3924,0.4334,3.4714,26.9506
712.0,0.9625,33.13,31.838,31.7297,31.7719,34.8226,58.2746,-1.292,-1.4003,-1.3581,1.6926,25.1446
713.0,0.9638,32.6,30.9935,30.875,30.9182,33.9823,57.4059,-1.6065,-1.725,-1.6818,1.3823,24.8059
714.0,0.9652,31.02,30.1576,30.0286,30.0727,33.1506,56.5452,-0.8624,-0.9914,-0.9473,2.1306,25.5252
715.0,0.9665,30.51,29.3307,29.1907,29.2358,32.3279,55.6928,-1.1793,-1.3193,-1.2742,1.8179,25.1828
716.0,0.9679,30.24,28.5132,28.3617,28.4076,31.5146,54.8493,-1.7268,-1.8783,-1.8324,1.2746,24.6093
717.0,0.9692,29.22,27.7052,27.5419,27.5886,30.7108,54.0151,-1.5148,-1.6781,-1.6314,1.4908,24.7951
718.0,0.9706,28.24,26.9072,26.7316,26.7789,29.9169,53.1908,-1.3328,-1.5084,-1.4611,1.6769,24.9508
719.0,0.9719,27.18,26.1193,25.9312,25.979,29.1333,52.3767,-1.0607,-1.2488,-1.201,1.9533,25.1967
720.0,0.9733,26.07,25.3419,25.1408,25.1891,28.3601,51.5736,-0.7281,-0.9292,-0.8809,2.2901,25.5036
721.0,0.9747,25.58,24.5753,24.361,24.4094,27.5976,50.7819,-1.0047,-1.219,-1.1706,2.0176,25.2019
722.0,0.976,24.45,23.8197,23.5918,23.6404,26.8462,50.002,-0.6303,-0.8582,-0.8096,2.3962,25.552
723.0,0.9774,23.52,23.0754,22.8338,22.8823,26.1061,49.2345,-0.4446,-0.6862,-0.6377,2.5861,25.7145
724.0,0.9787,22.02,22.3426,22.087,22.1353,25.3775,48.48,0.3226,0.067,0.1153,3.3575,26.46
725.0,0.9801,22.55,21.6216,21.3519,21.3997,24.6607,47.7388,-0.9284,-1.1981,-1.1503,2.1107,25.1888
726.0,0.9814,20.83,20.9126,20.6286,20.6758,23.9559,47.0113,0.0826,-0.2014,-0.1542,3.1259,26.1813
727.0,0.9828,21.43,20.2159,19.9176,19.9639,23.2633,46.2983,-1.2141,-1.5124,-1.4661,1.8333,24.8683
728.0,0.9841,20.66,19.5316,19.2189,19.2642,22.5833,45.5999,-1.1284,-1.4411,-1.3958,1.9233,24.9399
729.0,0.9855,19.13,18.86,18.5329,18.577,21.9158,44.9168,-0.27,-0.5971,-0.553,2.7858,25.7868
730.0,0.9868,19.35,18.2012,17.8597,17.9025,21.2613,44.2492,-1.1488,-1.4903,-1.4475,1.9113,24.8992
731.0,0.9882,17.27,17.5555,17.1997,17.2408,20.6197,43.5975,0.2855,-0.0703,-0.0292,3.3497,26.3275
732.0,0.9895,18.0,16.9229,16.553,16.5923,19.9913,42.9623,-1.0771,-1.447,-1.4077,1.9913,24.9623
733.0,0.9909,16.57,16.3036,15.9198,15.9571,19.3762,42.3435,-0.2664,-0.6502,-0.6129,2.8062,25.7735
734.0,0.9922,16.09,15.6978,15.3003,15.3354,18.7746,41.7416,-0.3922,-0.7897,-0.7546,2.6846,25.6516
735.0,0.9936,15.28,15.1055,14.6946,14.7274,18.1865,41.157,-0.1745,-0.5854,-0.5526,2.9065,25.877
736.0,0.9949,14.49,14.5269,14.1029,14.1332,17.6121,40.5897,0.0369,-0.3871,-0.3568,3.1221,26.0997
737.0,0.9963,14.06,13.962,13.5254,13.553,17.0514,40.0401,-0.098,-0.5346,-0.507,2.9914,25.9801
738.0,0.9976,13.95,13.4109,12.962,12.9868,16.5044,39.5083,-0.5391,-0.988,-0.9632,2.5544,25.5583
739.0,0.999,12.85,12.8736,12.4129,12.4349,15.9714,38.9943,0.0236,-0.4371,-0.4151,3.1214,26.1443
740.0,1.0003,12.34,12.3502,11.8783,11.8972,15.4521,38.4982,0.0102,-0.4617,-0.4428,3.1121,26.1582
741.0,1.0017,11.61,11.8407,11.358,11.3739,14.9469,38.0202,0.2307,-0.252,-0.2361,3.3369,26.4102
742.0,1.003,10.95,11.345,10.8522,10.865,14.4554,37.5602,0.395,-0.0978,-0.085,3.5054,26.6102
743.0,1.0044,10.6,10.8632,10.3609,10.3705,13.9778,37.1182,0.2632,-0.2391,-0.2295,3.3778,26.5182
744.0,1.0057,10.24,10.3952,9.8841,9.8905,13.5139,36.6942,0.1552,-0.3559,-0.3495,3.2739,26.4542
745.0,1.0071,9.72,9.9409,9.4218,9.4249,13.0639,36.2879,0.2209,-0.2982,-0.2951,3.3439,26.5679
746.0,1.0084,9.35,9.5003,8.9738,8.9738,12.6275,35.8995,0.1503,-0.3762,-0.3762,3.2775,26.5495
