strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
630.0,0.8516,142.0,137.1212,139.9508,140.3038,139.0588,160.4805,-4.8788,-2.0492,-1.6962,-2.9412,18.4805
635.0,0.8584,115.75,132.8639,135.671,136.0776,134.8168,156.4936,17.1139,19.921,20.3276,19.0668,40.7436
640.0,0.8652,131.0,128.657,131.4274,131.8939,130.6253,152.5586,-2.343,0.4274,0.8939,-0.3747,21.5586
645.0,0.8719,123.23,124.503,127.2222,127.7552,126.4867,148.6777,1.273,3.9922,4.5252,3.2567,25.4477
650.0,0.8787,124.79,120.4046,123.0573,123.6602,122.4037,144.8533,-4.3854,-1.7327,-1.1298,-2.3863,20.0633
655.0,0.8854,118.79,116.3643,118.935,119.606,118.3787,141.0874,-2.4257,0.145,0.816,-0.4113,22.2974
660.0,0.8922,116.0,112.3846,114.8573,115.5902,114.4145,137.3822,-3.6154,-1.1427,-0.4098,-1.5855,21.3822
665.0,0.899,110.77,108.468,110.8264,111.6135,110.5132,133.7393,-2.302,0.0564,0.8435,-0.2568,22.9693
670.0,0.9057,110.64,104.6166,106.8447,107.6801,106.6773,130.1611,-6.0234,-3.7953,-2.9599,-3.9627,19.5211
675.0,0.9125,100.82,100.8329,102.9143,103.796,102.9089,126.649,0.0129,2.0943,2.976,2.0889,25.829
680.0,0.9192,102.26,97.1189,99.0377,99.9668,99.2103,123.2049,-5.1411,-3.2223,-2.2932,-3.0497,20.9449
685.0,0.926,97.69,93.4766,95.2171,96.1959,95.5834,119.8303,-4.2134,-2.4729,-1.4941,-2.1066,22.1403
690.0,0.9327,93.74,89.908,91.4549,92.4835,92.0301,116.5268,-3.832,-2.2851,-1.2565,-1.7099,22.7868
695.0,0.9395,89.45,86.4147,87.7534,88.8276,88.5522,113.2955,-3.0353,-1.6966,-0.6224,-0.8978,23.8455
700.0,0.9463,87.24,82.9984,84.115,85.2261,85.1513,110.1379,-4.2416,-3.125,-2.0139,-2.0887,22.8979
705.0,0.953,81.59,79.6605,80.542,81.6783,81.8288,107.0548,-1.9295,-1.048,0.0883,0.2388,25.4648
710.0,0.9598,79.71,76.4023,77.0366,78.1866,78.586,104.0474,-3.3077,-2.6734,-1.5234,-1.124,24.3374
715.0,0.9665,75.94,73.225,73.6012,74.7556,75.4241,101.1163,-2.715,-2.3388,-1.1844,-0.5159,25.1763
720.0,0.9733,72.92,70.1295,70.2379,71.3907,72.3439,98.2623,-2.7905,-2.6821,-1.5293,-0.5761,25.3423
725.0,0.9801,70.02,67.1166,66.9488,68.0966,69.3464,95.4859,-2.9034,-3.0712,-1.9234,-0.6736,25.4659
730.0,0.9868,66.17,64.1869,63.7359,64.8758,66.4321,92.7876,-1.9831,-2.4341,-1.2942,0.2621,26.6176
735.0,0.9936,62.53,61.3409,60.6014,61.7282,63.6014,90.1674,-1.1891,-1.9286,-0.8018,1.0714,27.6374
740.0,1.0003,59.62,58.579,57.5469,58.6519,60.8549,87.6257,-1.041,-2.0731,-0.9681,1.2349,28.0057
745.0,1.0071,55.92,55.901,54.5743,55.6451,58.1923,85.1623,-0.019,-1.3457,-0.2749,2.2723,29.2423
750.0,1.0139,53.97,53.3072,51.6852,52.7073,55.6139,82.7772,-0.6628,-2.2848,-1.2627,1.6439,28.8072
755.0,1.0206,49.77,50.7972,48.881,49.84,53.1192,80.47,1.0272,-0.889,0.07,3.3492,30.7
760.0,1.0274,47.05,48.3707,46.163,47.0468,50.7081,78.2403,1.3207,-0.887,-0.0032,3.6581,31.1903
765.0,1.0341,44.69,46.0271,43.5325,44.3323,48.3799,76.0877,1.3371,-1.1575,-0.3577,3.6899,31.3977
770.0,1.0409,41.82,43.7658,40.9904,41.7004,46.134,74.0115,1.9458,-0.8296,-0.1196,4.314,32.1915
775.0,1.0477,39.29,41.586,38.5375,39.1537,43.9696,72.0109,2.296,-0.7525,-0.1363,4.6796,32.7209
780.0,1.0544,36.95,39.4868,36.1743,36.6925,41.8857,70.0852,2.5368,-0.7757,-0.2575,4.9357,33.1352
785.0,1.0612,34.21,37.467,33.9015,34.3153,39.8813,68.2332,3.257,-0.3085,0.1053,5.6713,34.0232
790.0,1.0679,31.35,35.5256,31.719,32.0199,37.9552,66.454,4.1756,0.369,0.6699,6.6052,35.104
795.0,1.0747,28.85,33.6611,29.627,29.8045,36.1062,64.7465,4.8111,0.777,0.9545,7.2562,35.8965
800.0,1.0814,27.4,31.8724,27.6252,27.6687,34.3328,63.1095,4.4724,0.2252,0.2687,6.9328,35.7095
805.0,1.0882,25.18,30.1577,25.7132,25.6136,32.6335,61.5418,4.9777,0.5332,0.4336,7.4535,36.3618
810.0,1.095,22.13,28.5157,23.8903,23.6418,31.0069,60.0418,6.3857,1.7603,1.5118,8.8769,37.9118
815.0,1.1017,20.54,26.9446,22.1557,21.7564,29.4511,58.6082,6.4046,1.6157,1.2164,8.9111,38.0682
820.0,1.1085,20.18,25.4427,20.5084,19.9599,27.9647,57.2396,5.2627,0.3284,-0.2201,7.7847,37.0596
825.0,1.1152,18.29,24.0083,18.947,18.2531,26.5457,55.9345,5.7183,0.657,-0.0369,8.2557,37.6445
830.0,1.122,16.78,22.6396,17.4701,16.6354,25.1923,54.6913,5.8596,0.6901,-0.1446,8.4123,37.9113
835.0,1.1288,14.75,21.3346,16.076,15.1045,23.9027,53.5083,6.5846,1.326,0.3545,9.1527,38.7583
840.0,1.1355,13.77,20.0916,14.7628,13.6573,22.6751,52.3841,6.3216,0.9928,-0.1127,8.9051,38.6141
