strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
629.0,0.8503,55.11,111.4906,111.4906,111.4347,113.4118,125.9507,56.3806,56.3806,56.3247,58.3018,70.8407
630.0,0.8516,92.04,110.4918,110.4918,110.4561,112.416,124.9748,18.4518,18.4518,18.4161,20.376,32.9348
631.0,0.853,83.05,109.4929,109.4929,109.4783,111.4202,123.999,26.4429,26.4429,26.4283,28.3702,40.949
633.0,0.8557,50.92,107.4953,107.4953,107.5234,109.4287,122.0474,56.5753,56.5753,56.6034,58.5087,71.1274
634.0,0.857,49.34,106.4965,106.4965,106.5452,108.433,121.0716,57.1565,57.1565,57.2052,59.093,71.7316
635.0,0.8584,104.81,105.4976,105.4976,105.5657,107.4371,120.0956,0.6876,0.6876,0.7557,2.6271,15.2856
636.0,0.8597,103.97,104.4988,104.4988,104.5845,106.4414,119.1198,0.5288,0.5288,0.6145,2.4714,15.1498
637.0,0.8611,101.46,103.5,103.5,103.6012,105.4456,118.144,2.04,2.04,2.1412,3.9856,16.684
638.0,0.8625,51.2,102.5012,102.5012,102.6154,104.4498,117.1682,51.3012,51.3012,51.4154,53.2498,65.9682
639.0,0.8638,72.46,101.5024,101.5024,101.6268,103.4541,116.1924,29.0424,29.0424,29.1668,30.9941,43.7324
640.0,0.8652,98.2,100.5035,100.5035,100.6351,102.4584,115.2165,2.3035,2.3035,2.4351,4.2584,17.0165
641.0,0.8665,94.21,99.5047,99.5047,99.6402,101.4626,114.2407,5.2947,5.2947,5.4302,7.2526,20.0307
642.0,0.8679,95.63,98.5059,98.5059,98.642,100.4667,113.2649,2.8759,2.8759,3.012,4.8367,17.6349
643.0,0.8692,94.61,97.5071,97.5071,97.6406,99.4709,112.289,2.8971,2.8971,3.0306,4.8609,17.679
644.0,0.8706,77.5,96.5082,96.5082,96.6359,98.4753,111.3132,19.0082,19.0082,19.1359,20.9753,33.8132
646.0,0.8733,92.52,94.5106,94.5106,94.6175,96.4838,109.3615,1.9906,1.9906,2.0975,3.9638,16.8415
647.0,0.8746,64.85,93.5118,93.5118,93.6043,95.4879,108.3857,28.6618,28.6618,28.7543,30.6379,43.5357
648.0,0.876,87.38,92.5129,92.513,92.589,94.4922,107.4099,5.1329,5.133,5.209,7.1122,20.0299
649.0,0.8773,89.74,91.5141,91.5141,91.5719,93.4963,106.434,1.7741,1.7741,1.8319,3.7563,16.694
650.0,0.8787,83.49,90.5153,90.5153,90.5534,92.5006,105.4582,7.0253,7.0253,7.0634,9.0106,21.9682
651.0,0.88,82.93,89.5165,89.5165,89.5341,91.5048,104.4824,6.5865,6.5865,6.6041,8.5748,21.5524
652.0,0.8814,84.85,88.5177,88.5177,88.5144,90.5091,103.5065,3.6677,3.6677,3.6644,5.6591,18.6565
653.0,0.8827,62.08,87.5188,87.5189,87.4949,89.5133,102.5307,25.4388,25.4389,25.4149,27.4333,40.4507
654.0,0.8841,83.01,86.52,86.52,86.476,88.5175,101.5548,3.51,3.51,3.466,5.5075,18.5448
655.0,0.8854,83.34,85.5212,85.5212,85.4582,87.5218,100.579,2.1812,2.1812,2.1182,4.1818,17.239
656.0,0.8868,67.5,84.5224,84.5224,84.4419,86.5261,99.6032,17.0224,17.0224,16.9419,19.0261,32.1032
657.0,0.8881,82.02,83.5236,83.5236,83.4276,85.5302,98.6273,1.5036,1.5036,1.4076,3.5102,16.6073
658.0,0.8895,80.18,82.5248,82.5248,82.4156,84.5345,97.6516,2.3448,2.3448,2.2356,4.3545,17.4716
659.0,0.8908,78.95,81.5259,81.526,81.4063,83.5387,96.6757,2.5759,2.576,2.4563,4.5887,17.7257
