strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
629.0,0.8503,111.7,130.1642,128.7322,128.7324,132.5215,117.9966,18.4642,17.0322,17.0324,20.8215,6.2966
630.0,0.8516,132.48,129.2634,127.7974,127.7976,131.6245,117.0081,-3.2166,-4.6826,-4.6824,-0.8555,-15.4719
631.0,0.853,110.6,128.3644,126.8639,126.8641,130.7291,116.0196,17.7644,16.2639,16.2641,20.1291,5.4196
632.0,0.8543,106.52,127.4671,125.9317,125.9319,129.8356,115.0312,20.9471,19.4117,19.4119,23.3156,8.5112
633.0,0.8557,64.56,126.5716,125.0008,125.001,128.9438,114.0427,62.0116,60.4408,60.441,64.3838,49.4827
634.0,0.857,99.61,125.6779,124.0714,124.0715,128.054,113.0542,26.0679,24.4614,24.4615,28.444,13.4442
635.0,0.8584,125.71,124.7862,123.1433,123.1435,127.1658,112.0657,-0.9238,-2.5667,-2.5665,1.4558,-13.6443
636.0,0.8597,111.27,123.8963,122.2166,122.2168,126.2797,111.0772,12.6263,10.9466,10.9468,15.0097,-0.1928
637.0,0.8611,111.3,123.0083,121.2915,121.2916,125.3955,110.0887,11.7083,9.9915,9.9916,14.0955,-1.2113
638.0,0.8625,81.55,122.1223,120.3678,120.368,124.5132,109.1003,40.5723,38.8178,38.818,42.9632,27.5503
639.0,0.8638,56.45,121.2382,119.4457,119.4459,123.633,108.1118,64.7882,62.9957,62.9959,67.183,51.6618
640.0,0.8652,124.2,120.3562,118.5251,118.5253,122.7547,107.1233,-3.8438,-5.6749,-5.6747,-1.4453,-17.0767
641.0,0.8665,89.63,119.4762,117.6062,117.6064,121.8785,106.1349,29.8462,27.9762,27.9764,32.2485,16.5049
642.0,0.8679,98.6,118.5984,116.6889,116.6891,121.0043,105.1464,19.9984,18.0889,18.0891,22.4043,6.5464
643.0,0.8692,115.8,117.7226,115.7733,115.7735,120.1323,104.1579,1.9226,-0.0267,-0.0265,4.3323,-11.6421
644.0,0.8706,98.1,116.8489,114.8595,114.8597,119.2624,103.1694,18.7489,16.7595,16.7597,21.1624,5.0694
645.0,0.8719,119.77,115.9774,113.9474,113.9476,118.3946,102.1809,-3.7926,-5.8226,-5.8224,-1.3754,-17.5891
646.0,0.8733,119.2,115.1081,113.0371,113.0373,117.5291,101.1925,-4.0919,-6.1629,-6.1627,-1.6709,-18.0075
647.0,0.8746,49.22,114.241,112.1286,112.1288,116.6657,100.2039,65.021,62.9086,62.9088,67.4457,50.9839
648.0,0.876,110.9,113.3762,111.222,111.2222,115.8047,99.2155,2.4762,0.322,0.3222,4.9047,-11.6845
649.0,0.8773,92.64,112.5137,110.3174,110.3176,114.9459,98.227,19.8737,17.6774,17.6776,22.3059,5.587
650.0,0.8787,116.5,111.6535,109.4147,109.4149,114.0895,97.2386,-4.8465,-7.0853,-7.0851,-2.4105,-19.2614
651.0,0.88,54.13,110.7956,108.5139,108.5141,113.2353,96.2501,56.6656,54.3839,54.3841,59.1053,42.1201
652.0,0.8814,71.33,109.9402,107.6153,107.6155,112.3836,95.2616,38.6102,36.2853,36.2855,41.0536,23.9316
653.0,0.8827,90.7,109.0871,106.7187,106.7189,111.5344,94.2731,18.3871,16.0187,16.0189,20.8344,3.5731
654.0,0.8841,110.03,108.2365,105.8242,105.8244,110.6874,93.2846,-1.7935,-4.2058,-4.2056,0.6574,-16.7454
655.0,0.8854,111.53,107.3884,104.9319,104.932,109.843,92.2961,-4.1416,-6.5981,-6.598,-1.687,-19.2339
656.0,0.8868,111.5,106.5427,104.0417,104.0419,109.0011,91.3077,-4.9573,-7.4583,-7.4581,-2.4989,-20.1923
657.0,0.8881,88.53,105.6996,103.1538,103.154,108.1618,90.3192,17.1696,14.6238,14.624,19.6318,1.7892
658.0,0.8895,106.19,104.8591,102.2682,102.2684,107.3251,89.3307,-1.3309,-3.9218,-3.9216,1.1351,-16.8593
659.0,0.8908,67.76,104.0211,101.3849,101.3851,106.4908,88.3422,36.2611,33.6249,33.6251,38.7308,20.5822
660.0,0.8922,105.39,103.1858,100.504,100.5042,105.6592,87.3537,-2.2042,-4.886,-4.8858,0.2692,-18.0363
661.0,0.8935,95.63,102.3531,99.6255,99.6257,104.8303,86.3652,6.7231,3.9955,3.9957,9.2003,-9.2648
662.0,0.8949,76.11,101.5231,98.7494,98.7496,104.0041,85.3768,25.4131,22.6394,22.6396,27.8941,9.2668
663.0,0.8962,60.06,100.6959,97.8758,97.876,103.1806,84.3883,40.6359,37.8158,37.816,43.1206,24.3283
664.0,0.8976,80.09,99.8714,97.0048,97.0049,102.3598,83.3998,19.7814,16.9148,16.9149,22.2698,3.3098
665.0,0.899,103.5,99.0496,96.1363,96.1365,101.5418,82.4114,-4.4504,-7.3637,-7.3635,-1.9582,-21.0886
