strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
629.0,0.8503,60.61,114.3764,114.3735,114.3737,117.4353,103.6601,53.7664,53.7635,53.7637,56.8253,43.0501
630.0,0.8516,111.77,113.3829,113.3796,113.3798,116.4466,102.6488,1.6129,1.6096,1.6098,4.6766,-9.1212
631.0,0.853,107.29,112.3894,112.3858,112.3861,115.458,101.6375,5.0994,5.0958,5.0961,8.168,-5.6525
632.0,0.8543,107.17,111.396,111.3921,111.3923,114.4695,100.6262,4.226,4.2221,4.2223,7.2995,-6.5438
633.0,0.8557,108.45,110.4028,110.3984,110.3987,113.4811,99.6149,1.9528,1.9484,1.9487,5.0311,-8.8351
634.0,0.857,79.55,109.4096,109.4048,109.4051,112.4928,98.6037,29.8596,29.8548,29.8551,32.9428,19.0537
635.0,0.8584,92.4,108.4166,108.4112,108.4115,111.5045,97.5924,16.0166,16.0112,16.0115,19.1045,5.1924
636.0,0.8597,81.37,107.4236,107.4178,107.4181,110.5165,96.5811,26.0536,26.0478,26.0481,29.1465,15.2111
637.0,0.8611,105.78,106.4309,106.4244,106.4248,109.5286,95.5698,0.6509,0.6444,0.6448,3.7486,-10.2102
638.0,0.8625,96.0,105.4382,105.4311,105.4315,108.5408,94.5586,9.4382,9.4311,9.4315,12.5408,-1.4414
639.0,0.8638,92.56,104.4457,104.4379,104.4384,107.5533,93.5473,11.8857,11.8779,11.8784,14.9933,0.9873
640.0,0.8652,98.8,103.4535,103.4449,103.4453,106.5658,92.536,4.6535,4.6449,4.6453,7.7658,-6.264
641.0,0.8665,91.81,102.4613,102.4519,102.4525,105.5786,91.5248,10.6513,10.6419,10.6425,13.7686,-0.2852
642.0,0.8679,69.68,101.4695,101.4591,101.4597,104.5916,90.5135,31.7895,31.7791,31.7797,34.9116,20.8335
643.0,0.8692,81.8,100.4778,100.4665,100.4671,103.6047,89.5022,18.6778,18.6665,18.6671,21.8047,7.7022
644.0,0.8706,97.03,99.4864,99.474,99.4747,102.6183,88.491,2.4564,2.444,2.4447,5.5883,-8.539
645.0,0.8719,96.08,98.4953,98.4818,98.4825,101.6319,87.4797,2.4153,2.4018,2.4025,5.5519,-8.6003
646.0,0.8733,75.38,97.5044,97.4897,97.4905,100.646,86.4684,22.1244,22.1097,22.1105,25.266,11.0884
647.0,0.8746,71.0,96.5139,96.4978,96.4987,99.6603,85.4571,25.5139,25.4978,25.4987,28.6603,14.4571
648.0,0.876,45.19,95.5237,95.5062,95.5072,98.6749,84.4459,50.3337,50.3162,50.3172,53.4849,39.2559
649.0,0.8773,92.15,94.5339,94.5149,94.5159,97.6899,83.4346,2.3839,2.3649,2.3659,5.5399,-8.7154
650.0,0.8787,92.28,93.5444,93.5238,93.5249,96.7054,82.4233,1.2644,1.2438,1.2449,4.4254,-9.8567
651.0,0.88,52.42,92.5555,92.5331,92.5343,95.7214,81.4121,40.1355,40.1131,40.1143,43.3014,28.9921
652.0,0.8814,86.5,91.5669,91.5427,91.5439,94.7376,80.4008,5.0669,5.0427,5.0439,8.2376,-6.0992
653.0,0.8827,75.52,90.5789,90.5527,90.554,93.7545,79.3895,15.0589,15.0327,15.034,18.2345,3.8695
654.0,0.8841,87.75,89.5914,89.563,89.5645,92.7719,78.3782,1.8414,1.813,1.8145,5.0219,-9.3718
655.0,0.8854,86.82,88.6045,88.5738,88.5754,91.7898,77.367,1.7845,1.7538,1.7554,4.9698,-9.453
656.0,0.8868,79.01,87.6182,87.5851,87.5867,90.8084,76.3557,8.6082,8.5751,8.5767,11.7984,-2.6543
657.0,0.8881,62.0,86.6326,86.5968,86.5986,89.8276,75.3444,24.6326,24.5968,24.5986,27.8276,13.3444
658.0,0.8895,38.27,85.6476,85.6092,85.611,88.8476,74.3332,47.3776,47.3392,47.341,50.5776,36.0632
659.0,0.8908,62.46,84.6635,84.622,84.624,87.8682,73.3219,22.2035,22.162,22.164,25.4082,10.8619
660.0,0.8922,82.59,83.6801,83.6356,83.6377,86.8898,72.3106,1.0901,1.0456,1.0477,4.2998,-10.2794
661.0,0.8935,77.06,82.6976,82.6497,82.652,85.912,71.2993,5.6376,5.5897,5.592,8.852,-5.7607
662.0,0.8949,58.96,81.716,81.6647,81.6671,84.9354,70.2881,22.756,22.7047,22.7071,25.9754,11.3281
663.0,0.8962,75.0,80.7354,80.6804,80.6829,83.9597,69.2768,5.7354,5.6804,5.6829,8.9597,-5.7232
664.0,0.8976,74.11,79.7558,79.6969,79.6996,82.9849,68.2655,5.6458,5.5869,5.5896,8.8749,-5.8445
665.0,0.899,77.2,78.7774,78.7143,78.7172,82.0114,67.2543,1.5774,1.5143,1.5172,4.8114,-9.9457
666.0,0.9003,73.03,77.8001,77.7327,77.7358,81.0389,66.243,4.7701,4.7027,4.7058,8.0089,-6.787
667.0,0.9017,64.98,76.8241,76.7521,76.7553,80.0678,65.2317,11.8441,11.7721,11.7753,15.0878,0.2517
668.0,0.903,62.43,75.8494,75.7726,75.776,79.098,64.2205,13.4194,13.3426,13.346,16.668,1.7905
669.0,0.9044,73.59,74.8761,74.7943,74.7979,78.1295,63.2092,1.2861,1.2043,1.2079,4.5395,-10.3808
670.0,0.9057,74.5,73.9043,73.8172,73.821,77.1626,62.1979,-0.5957,-0.6828,-0.679,2.6626,-12.3021
671.0,0.9071,67.56,72.9341,72.8414,72.8454,76.1972,61.1866,5.3741,5.2814,5.2854,8.6372,-6.3734
672.0,0.9084,65.24,71.9656,71.867,71.8712,75.2336,60.1754,6.7256,6.627,6.6312,9.9936,-5.0646
673.0,0.9098,65.67,70.9988,70.8941,70.8985,74.2716,59.1641,5.3288,5.2241,5.2285,8.6016,-6.5059
674.0,0.9111,49.03,70.0338,69.9228,69.9274,73.3116,58.1528,21.0038,20.8928,20.8974,24.2816,9.1228
675.0,0.9125,69.17,69.0708,68.9532,68.958,72.3534,57.1416,-0.0992,-0.2168,-0.212,3.1834,-12.0284
676.0,0.9138,65.56,68.1099,67.9853,67.9904,71.3973,56.1303,2.5499,2.4253,2.4304,5.8373,-9.4297
677.0,0.9152,62.22,67.1511,67.0193,67.0246,70.4435,55.119,4.9311,4.7993,4.8046,8.2235,-7.101
678.0,0.9165,61.61,66.1947,66.0553,66.0609,69.4918,54.1077,4.5847,4.4453,4.4509,7.8818,-7.5023
679.0,0.9179,62.51,65.2405,65.0934,65.0992,68.5426,53.0965,2.7305,2.5834,2.5892,6.0326,-9.4135
680.0,0.9192,63.3,64.2889,64.1337,64.1397,67.5959,52.0852,0.9889,0.8337,0.8397,4.2959,-11.2148
681.0,0.9206,63.98,63.34,63.1764,63.1826,66.6517,51.0739,-0.64,-0.8036,-0.7974,2.6717,-12.9061
682.0,0.9219,61.52,62.3937,62.2215,62.228,65.7104,50.0627,0.8737,0.7015,0.708,4.1904,-11.4573
683.0,0.9233,56.9,61.4504,61.2692,61.2759,64.7719,49.0514,4.5504,4.3692,4.3759,7.8719,-7.8486
684.0,0.9246,55.99,60.51,60.3195,60.3265,63.8365,48.0401,4.52,4.3295,4.3365,7.8465,-7.9499
685.0,0.926,60.62,59.5729,59.3728,59.38,62.9041,47.0288,-1.0471,-1.2472,-1.24,2.2841,-13.5912
686.0,0.9273,58.19,58.6389,58.429,58.4365,61.975,46.0176,0.4489,0.239,0.2465,3.785,-12.1724
687.0,0.9287,55.38,57.7084,57.4884,57.4961,61.0494,45.0063,2.3284,2.1084,2.1161,5.6694,-10.3737
688.0,0.93,56.48,56.7815,56.551,56.5589,60.1274,43.995,0.3015,0.071,0.0789,3.6474,-12.485
689.0,0.9314,43.34,55.8583,55.6171,55.6253,59.2091,42.9838,12.5183,12.2771,12.2853,15.8691,-0.3562
690.0,0.9327,56.0,54.9389,54.6867,54.6951,58.2945,41.9725,-1.0611,-1.3133,-1.3049,2.2945,-14.0275
691.0,0.9341,54.44,54.0236,53.7601,53.7688,57.3841,40.9612,-0.4164,-0.6799,-0.6712,2.9441,-13.4788
692.0,0.9355,48.8,53.1124,52.8375,52.8463,56.4777,39.9499,4.3124,4.0375,4.0463,7.6777,-8.8501
693.0,0.9368,54.27,52.2056,51.9188,51.9279,55.5757,38.9387,-2.0644,-2.3512,-2.3421,1.3057,-15.3313
694.0,0.9382,51.3,51.3032,51.0044,51.0137,54.6782,37.9274,0.0032,-0.2956,-0.2863,3.3782,-13.3726
695.0,0.9395,50.07,50.4055,50.0945,50.104,53.7853,36.9161,0.3355,0.0245,0.034,3.7153,-13.1539
696.0,0.9409,45.09,49.5126,49.1891,49.1988,52.8973,35.9049,4.4226,4.0991,4.1088,7.8073,-9.1851
697.0,0.9422,44.3,48.6246,48.2885,48.2984,52.0142,34.8936,4.3246,3.9885,3.9984,7.7142,-9.4064
698.0,0.9436,47.47,47.7418,47.3928,47.4029,51.1363,33.8823,0.2718,-0.0772,-0.0671,3.6663,-13.5877
699.0,0.9449,46.35,46.8643,46.5022,46.5125,50.2637,32.8711,0.5143,0.1522,0.1625,3.9137,-13.4789
700.0,0.9463,47.0,45.9923,45.6169,45.6274,49.3965,31.8598,-1.0077,-1.3831,-1.3726,2.3965,-15.1402
701.0,0.9476,45.15,45.1259,44.7371,44.7477,48.535,30.8485,-0.0241,-0.4129,-0.4023,3.385,-14.3015
702.0,0.949,44.74,44.2654,43.863,43.8738,47.6793,29.8372,-0.4746,-0.877,-0.8662,2.9393,-14.9028
703.0,0.9503,43.9,43.4108,42.9948,43.0057,46.8296,28.826,-0.4892,-0.9052,-0.8943,2.9296,-15.074
704.0,0.9517,37.42,42.5624,42.1326,42.1436,45.986,27.8147,5.1424,4.7126,4.7236,8.566,-9.6053
705.0,0.953,43.3,41.7203,41.2766,41.2877,45.1488,26.8034,-1.5797,-2.0234,-2.0123,1.8488,-16.4966
706.0,0.9544,41.31,40.8847,40.4271,40.4383,44.318,25.7921,-0.4253,-0.8829,-0.8717,3.008,-15.5179
707.0,0.9557,41.32,40.0557,39.5841,39.5955,43.4939,24.7808,-1.2643,-1.7359,-1.7245,2.1739,-16.5392
708.0,0.9571,35.39,39.2336,38.748,38.7594,42.6766,23.7696,3.8436,3.358,3.3694,7.2866,-11.6204
709.0,0.9584,38.42,38.4185,37.9189,37.9303,41.8664,22.7583,-0.0015,-0.5011,-0.4897,3.4464,-15.6617
710.0,0.9598,38.48,37.6106,37.0969,37.1084,41.0633,21.747,-0.8694,-1.3831,-1.3716,2.5833,-16.733
711.0,0.9611,38.0,36.8099,36.2824,36.2938,40.2676,20.7358,-1.1901,-1.7176,-1.7062,2.2676,-17.2642
712.0,0.9625,37.4,36.0168,35.4753,35.4868,39.4793,19.7245,-1.3832,-1.9247,-1.9132,2.0793,-17.6755
713.0,0.9638,33.87,35.2314,34.676,34.6875,38.6988,18.7132,1.3614,0.806,0.8175,4.8288,-15.1568
