strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
629.0,0.8503,101.7,121.6496,121.3792,121.3792,124.5724,111.2776,19.9496,19.6792,19.6792,22.8724,9.5776
630.0,0.8516,122.0,120.6923,120.4112,120.4111,123.6198,110.2785,-1.3077,-1.5888,-1.5889,1.6198,-11.7215
631.0,0.853,98.15,119.7361,119.4439,119.4439,122.6682,109.2793,21.5861,21.2939,21.2939,24.5182,11.1293
632.0,0.8543,87.28,118.7811,118.4775,118.4774,121.7179,108.2801,31.5011,31.1975,31.1974,34.4379,21.0001
633.0,0.8557,54.65,117.8272,117.5118,117.5118,120.7686,107.2809,63.1772,62.8618,62.8618,66.1186,52.6309
634.0,0.857,91.63,116.8746,116.5471,116.547,119.8206,106.2818,25.2446,24.9171,24.917,28.1906,14.6518
635.0,0.8584,112.46,115.9231,115.5832,115.5831,118.8738,105.2826,3.4631,3.1232,3.1231,6.4138,-7.1774
636.0,0.8597,96.9,114.9729,114.6203,114.6202,117.9282,104.2835,18.0729,17.7203,17.7202,21.0282,7.3835
637.0,0.8611,93.04,114.0241,113.6584,113.6583,116.9841,103.2843,20.9841,20.6184,20.6183,23.9441,10.2443
638.0,0.8625,93.26,113.0766,112.6975,112.6974,116.0412,102.2852,19.8166,19.4375,19.4374,22.7812,9.0252
639.0,0.8638,92.56,112.1305,111.7376,111.7375,115.0998,101.286,19.5705,19.1776,19.1775,22.5398,8.726
640.0,0.8652,111.69,111.1858,110.7789,110.7787,114.1596,100.2868,-0.5042,-0.9111,-0.9113,2.4696,-11.4032
641.0,0.8665,90.79,110.2426,109.8212,109.8211,113.2212,99.2877,19.4526,19.0312,19.0311,22.4312,8.4977
642.0,0.8679,108.45,109.301,108.8648,108.8646,112.2841,98.2885,0.851,0.4148,0.4146,3.8341,-10.1615
643.0,0.8692,90.3,108.3609,107.9095,107.9094,111.3487,97.2894,18.0609,17.6095,17.6094,21.0487,6.9894
644.0,0.8706,88.74,107.4224,106.9556,106.9554,110.4149,96.2902,18.6824,18.2156,18.2154,21.6749,7.5502
645.0,0.8719,109.59,106.4855,106.0029,106.0027,109.4826,95.291,-3.1045,-3.5871,-3.5873,-0.1074,-14.299
646.0,0.8733,84.98,105.5504,105.0516,105.0514,108.5522,94.2919,20.5704,20.0716,20.0714,23.5722,9.3119
647.0,0.8746,101.64,104.617,104.1016,104.1015,107.6234,93.2927,2.977,2.4616,2.4615,5.9834,-8.3473
648.0,0.876,70.49,103.6854,103.1531,103.153,106.6964,92.2935,33.1954,32.6631,32.663,36.2064,21.8035
649.0,0.8773,83.9,102.7556,102.2061,102.206,105.7713,91.2943,18.8556,18.3061,18.306,21.8713,7.3943
650.0,0.8787,105.0,101.8277,101.2607,101.2605,104.8481,90.2952,-3.1723,-3.7393,-3.7395,-0.1519,-14.7048
651.0,0.88,82.33,100.9018,100.3168,100.3166,103.9268,89.2961,18.5718,17.9868,17.9866,21.5968,6.9661
652.0,0.8814,81.74,99.9778,99.3746,99.3744,103.0075,88.2969,18.2378,17.6346,17.6344,21.2675,6.5569
653.0,0.8827,79.23,99.0559,98.4341,98.4338,102.0902,87.2978,19.8259,19.2041,19.2038,22.8602,8.0678
654.0,0.8841,79.95,98.1361,97.4953,97.495,101.175,86.2986,18.1861,17.5453,17.545,21.225,6.3486
655.0,0.8854,99.7,97.2184,96.5583,96.558,100.262,85.2994,-2.4816,-3.1417,-3.142,0.562,-14.4006
656.0,0.8868,87.01,96.3029,95.6231,95.6229,99.3512,84.3003,9.2929,8.6131,8.6129,12.3412,-2.7097
657.0,0.8881,53.55,95.3896,94.6899,94.6896,98.4425,83.3011,41.8396,41.1399,41.1396,44.8925,29.7511
658.0,0.8895,73.25,94.4787,93.7586,93.7583,97.5362,82.3019,21.2287,20.5086,20.5083,24.2862,9.0519
659.0,0.8908,85.25,93.5701,92.8294,92.8291,96.6321,81.3027,8.3201,7.5794,7.5791,11.3821,-3.9473
