strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
629.0,0.8503,60.61,114.4495,114.4469,114.447,117.616,105.2947,53.8395,53.8369,53.837,57.006,44.6847
630.0,0.8516,111.77,113.4561,113.4531,113.4532,116.6276,104.286,1.6861,1.6831,1.6832,4.8576,-7.484
631.0,0.853,107.29,112.4627,112.4594,112.4595,115.6392,103.2773,5.1727,5.1694,5.1695,8.3492,-4.0127
632.0,0.8543,107.17,111.4694,111.4657,111.4658,114.6509,102.2687,4.2994,4.2957,4.2958,7.4809,-4.9013
633.0,0.8557,108.45,110.4761,110.4721,110.4722,113.6627,101.26,2.0261,2.0221,2.0222,5.2127,-7.19
634.0,0.857,79.55,109.483,109.4786,109.4787,112.6747,100.2513,29.933,29.9286,29.9287,33.1247,20.7013
635.0,0.8584,92.4,108.49,108.4851,108.4852,111.6866,99.2426,16.09,16.0851,16.0852,19.2866,6.8426
636.0,0.8597,81.37,107.4971,107.4917,107.4918,110.6988,98.234,26.1271,26.1217,26.1218,29.3288,16.864
637.0,0.8611,105.78,106.5043,106.4984,106.4985,109.711,97.2252,0.7243,0.7184,0.7185,3.931,-8.5548
638.0,0.8625,96.0,105.5117,105.5051,105.5053,108.7234,96.2166,9.5117,9.5051,9.5053,12.7234,0.2166
639.0,0.8638,92.56,104.5192,104.512,104.5122,107.736,95.2079,11.9592,11.952,11.9522,15.176,2.6479
640.0,0.8652,98.8,103.5269,103.519,103.5192,106.7487,94.1993,4.7269,4.719,4.7192,7.9487,-4.6007
641.0,0.8665,91.81,102.5348,102.5261,102.5263,105.7617,93.1906,10.7248,10.7161,10.7163,13.9517,1.3806
642.0,0.8679,69.68,101.5429,101.5333,101.5336,104.7747,92.1819,31.8629,31.8533,31.8536,35.0947,22.5019
643.0,0.8692,81.8,100.5512,100.5407,100.541,103.7881,91.1733,18.7512,18.7407,18.741,21.9881,9.3733
644.0,0.8706,97.03,99.5597,99.5483,99.5486,102.8017,90.1646,2.5297,2.5183,2.5186,5.7717,-6.8654
645.0,0.8719,96.08,98.5685,98.556,98.5563,101.8155,89.1559,2.4885,2.476,2.4763,5.7355,-6.9241
646.0,0.8733,75.38,97.5775,97.5639,97.5643,100.8296,88.1473,22.1975,22.1839,22.1843,25.4496,12.7673
647.0,0.8746,71.0,96.5869,96.5721,96.5724,99.844,87.1385,25.5869,25.5721,25.5724,28.844,16.1385
648.0,0.876,45.19,95.5966,95.5804,95.5808,98.8587,86.1299,50.4066,50.3904,50.3908,53.6687,40.9399
649.0,0.8773,92.15,94.6067,94.5891,94.5895,97.8738,85.1212,2.4567,2.4391,2.4395,5.7238,-7.0288
650.0,0.8787,92.28,93.6171,93.598,93.5984,96.8892,84.1125,1.3371,1.318,1.3184,4.6092,-8.1675
651.0,0.88,52.42,92.6279,92.6072,92.6077,95.9052,83.1039,40.2079,40.1872,40.1877,43.4852,30.6839
652.0,0.8814,86.5,91.6392,91.6167,91.6172,94.9215,82.0952,5.1392,5.1167,5.1172,8.4215,-4.4048
653.0,0.8827,75.52,90.651,90.6266,90.6272,93.9383,81.0865,15.131,15.1066,15.1072,18.4183,5.5665
654.0,0.8841,87.75,89.6633,89.6368,89.6375,92.9555,80.0778,1.9133,1.8868,1.8875,5.2055,-7.6722
655.0,0.8854,86.82,88.6761,88.6475,88.6482,91.9734,79.0692,1.8561,1.8275,1.8282,5.1534,-7.7508
