行权价,市场看涨价,市场看跌价,隐含波动率,BS看涨价,PINN看涨价,PINN看涨误差,BS看跌价,PINN看跌价
2400.0,604.6,1.4,0.6542,604.6,563.8352,-40.7648,49.4767,8.7119
2450.0,559.0,1.2,0.6284,559.0,516.7714,-42.2286,53.77,11.5413
2500.0,516.6,1.2,0.6139,516.6,472.9386,-43.6614,61.2632,17.6018
2550.0,476.8,1.2,0.6057,476.8,431.8764,-44.9236,71.3565,26.4329
2600.0,421.4,1.6,0.5379,421.4,371.8402,-49.5598,65.8498,16.29
2650.0,359.8,1.8,0.4491,359.8,311.4391,-48.3609,54.143,5.7822
2700.0,330.8,3.0,0.473,330.8,279.6808,-51.1192,75.0363,23.9171
2750.0,271.2,4.4,0.3929,271.2,228.1426,-43.0574,65.3295,22.2722
2800.0,231.8,7.2,0.3747,231.8001,191.0133,-40.7867,75.8229,35.0361
2850.0,187.4,12.2,0.3374,187.4,153.3112,-34.0888,81.3161,47.2273
2900.0,146.8,19.2,0.306,146.8,119.4583,-27.3417,90.6094,63.2677
2950.0,110.2,32.2,0.2786,110.2,89.4765,-20.7235,103.9026,83.1792
3000.0,80.0,50.8,0.2589,80.0,64.3036,-15.6964,123.5959,107.8995
3050.0,57.0,78.0,0.2474,57.0,44.2705,-12.7295,150.4891,137.7597
3100.0,40.0,112.4,0.2411,40.0,28.8478,-11.1522,183.3825,172.2302
3150.0,28.6,149.0,0.2412,28.6,17.241,-11.359,221.8757,210.5167
3200.0,21.0,193.6,0.2454,21.0,8.2203,-12.7797,264.1689,251.3893
3250.0,16.2,240.0,0.2538,16.2,0.7071,-15.4929,309.2622,293.7693
3300.0,13.0,305.2,0.2645,13.0,0.0,-13.0,355.9555,342.9555
3350.0,10.6,353.0,0.2753,10.6,0.0,-10.6,403.4487,392.8487
3400.0,9.2,382.2,0.2893,9.2,0.0,-9.2,451.942,442.742
3500.0,8.2,481.6,0.3257,8.2,0.0,-8.2,550.7285,542.5285
