expiry,T_years,strike,market,BSM,CEV,Heston,PINN_BSM,PINN_CEV,PINN_Heston
Mon May 18 2026,0.011,675.0,62.82,65.068,65.068,65.068,65.081,31.2974,65.1583
Mon May 18 2026,0.011,680.0,60.08,60.0704,60.0704,60.0704,60.0864,26.5347,60.1354
Mon May 18 2026,0.011,685.0,53.4,55.0727,55.0727,55.0727,55.0921,21.8672,55.1553
Mon May 18 2026,0.011,687.0,50.73,53.0737,53.0737,53.0737,53.0946,20.0285,53.1755
Mon May 18 2026,0.011,690.0,51.07,50.0752,50.0752,50.0752,50.0983,17.3015,50.2178
Mon May 18 2026,0.011,691.0,48.4,49.0757,49.0757,49.0757,49.0996,16.401,49.2351
Mon May 18 2026,0.011,692.0,43.48,48.0763,48.0762,48.0763,48.1008,15.505,48.2535
Mon May 18 2026,0.011,693.0,45.99,47.0768,47.0767,47.0768,47.1022,14.6134,47.2735
Mon May 18 2026,0.011,695.0,44.74,45.0781,45.0779,45.0781,45.1048,12.8437,45.3167
Mon May 18 2026,0.011,696.0,36.2,44.0788,44.0786,44.0788,44.1062,11.9658,44.3401
Mon May 18 2026,0.011,698.0,41.71,42.0806,42.0801,42.0806,42.1091,10.2238,42.389
Mon May 18 2026,0.011,699.0,41.14,41.0817,41.0811,41.0817,41.1109,9.36,41.4146
Mon May 18 2026,0.011,700.0,40.22,40.0829,40.0821,40.0829,40.1127,8.5009,40.4408
Mon May 18 2026,0.011,701.0,36.3,39.0845,39.0834,39.0845,39.1147,7.6468,39.4675
Mon May 18 2026,0.011,703.0,34.94,37.0886,37.0869,37.0886,37.1197,5.9534,37.5221
Mon May 18 2026,0.011,704.0,34.4,36.0913,36.0892,36.0913,36.1227,5.1143,36.5499
Mon May 18 2026,0.011,706.0,30.24,34.099,34.0956,34.099,34.1309,3.4513,34.6065
Mon May 18 2026,0.011,709.0,29.88,31.1184,31.112,31.1184,31.1505,0.9963,31.6945
Mon May 18 2026,0.011,710.0,29.97,30.1281,30.1203,30.1281,30.1601,0.1888,30.7253
Mon May 18 2026,0.011,712.0,26.43,28.1542,28.1429,28.1542,28.1857,0.0,28.7904
Mon May 18 2026,0.011,713.0,24.75,27.1716,27.1581,27.1716,27.2028,0.0,27.8256
Mon May 18 2026,0.011,714.0,26.17,26.1926,26.1766,26.1926,26.2233,0.0,26.8629
Mon May 18 2026,0.011,715.0,25.81,25.2178,25.1989,25.2178,25.248,0.0,25.9031
Mon May 18 2026,0.011,716.0,23.09,24.2479,24.2258,24.2479,24.2775,0.0,24.9468
Mon May 18 2026,0.011,717.0,17.31,23.2837,23.2579,23.2837,23.3125,0.0,23.9948
Mon May 18 2026,0.011,718.0,20.08,22.326,22.2962,22.326,22.3539,0.0,23.048
Mon May 18 2026,0.011,719.0,22.2,21.3758,21.3415,21.3758,21.4028,0.0,22.107
Mon May 18 2026,0.011,720.0,21.36,20.4341,20.3949,20.4341,20.4601,0.0,21.1732
Mon May 18 2026,0.011,721.0,19.45,19.5019,19.4574,19.5019,19.5267,0.0,20.2474
Mon May 18 2026,0.011,722.0,17.7,18.5804,18.5303,18.5804,18.6042,0.0,19.3312
Mon May 18 2026,0.011,723.0,16.98,17.671,17.6148,17.671,17.6935,0.0,18.4254
Mon May 18 2026,0.011,724.0,16.68,16.7748,16.7122,16.7748,16.7961,0.0,17.5317
Mon May 18 2026,0.011,725.0,15.95,15.8931,15.824,15.8931,15.9131,0.0,16.6512
Mon May 18 2026,0.011,726.0,15.4,15.0275,14.9515,15.0275,15.0461,0.0,15.7857
Mon May 18 2026,0.011,727.0,13.96,14.1792,14.0962,14.1792,14.1965,0.0,14.9364
Mon May 18 2026,0.011,728.0,12.57,13.3498,13.2596,13.3498,13.3656,0.0,14.1049
Mon May 18 2026,0.011,729.0,13.38,12.5405,12.4432,12.5405,12.5549,0.0,13.2927
Mon May 18 2026,0.011,730.0,12.55,11.7528,11.6485,11.7528,11.7659,0.0,12.5012
Mon May 18 2026,0.011,731.0,10.88,10.9881,10.8769,10.9881,10.9997,0.0,11.7319
Mon May 18 2026,0.011,732.0,10.26,10.2475,10.1298,10.2475,10.2576,0.0,10.9862
Mon May 18 2026,0.011,733.0,9.34,9.5323,9.4084,9.5323,9.541,0.0,10.2652
Mon May 18 2026,0.011,734.0,8.83,8.8436,8.7139,8.8436,8.851,0.0,9.5704
Mon May 18 2026,0.011,735.0,8.64,8.1823,8.0475,8.1823,8.1883,0.0,8.9025
Mon May 18 2026,0.011,736.0,7.33,7.5494,7.41,7.5494,7.5541,0.0,8.2629
Mon May 18 2026,0.011,737.0,7.21,6.9454,6.8022,6.9454,6.949,0.0,7.652
Mon May 18 2026,0.011,738.0,6.75,6.371,6.2247,6.371,6.3734,0.0,7.0706
Mon May 18 2026,0.011,739.0,6.03,5.8266,5.678,5.8266,5.8278,0.0,6.5192
Mon May 18 2026,0.011,740.0,5.47,5.3123,5.1624,5.3123,5.3125,0.0,5.998
Mon May 18 2026,0.011,741.0,4.95,4.8282,4.6778,4.8282,4.8274,0.0,5.5073
Mon May 18 2026,0.011,742.0,4.45,4.3741,4.2242,4.3741,4.3725,0.0,5.0468
Mon May 18 2026,0.011,743.0,3.89,3.9499,3.8012,3.9499,3.9474,0.0,4.6165
Mon May 18 2026,0.011,744.0,3.5,3.5549,3.4084,3.5549,3.5517,0.0,4.2158
Mon May 18 2026,0.011,745.0,3.09,3.1887,3.0451,3.1887,3.1848,0.0,3.8443
Mon May 18 2026,0.011,746.0,2.68,2.8503,2.7105,2.8503,2.8459,0.0,3.5012
Mon May 18 2026,0.011,747.0,2.35,2.539,2.4035,2.539,2.534,0.0,3.1856
Mon May 18 2026,0.011,748.0,1.91,2.2537,2.1232,2.2537,2.2483,0.0,2.8966
Mon May 18 2026,0.011,749.0,1.57,1.9933,1.8684,1.9933,1.9876,0.0,2.6331
Mon May 18 2026,0.011,750.0,1.51,1.7565,1.6377,1.7565,1.7506,0.0,2.3939
Mon May 18 2026,0.011,755.0,0.61,0.8827,0.7974,0.8827,0.8765,0.0,1.5177
Mon May 18 2026,0.011,760.0,0.24,0.4028,0.3496,0.4028,0.3976,0.0,1.0514
Tue May 19 2026,0.0137,645.0,90.21,95.1298,95.1298,95.1298,95.1343,58.7189,95.8383
Tue May 19 2026,0.0137,650.0,87.21,90.1328,90.1328,90.1328,90.1382,53.66,90.7198
Tue May 19 2026,0.0137,670.0,65.73,70.1445,70.1445,70.1445,70.156,34.0793,70.2589
Tue May 19 2026,0.0137,675.0,58.24,65.1475,65.1475,65.1475,65.1613,29.3695,65.192
Tue May 19 2026,0.0137,680.0,58.19,60.1504,60.1504,60.1504,60.1669,24.7424,60.1637
Tue May 19 2026,0.0137,685.0,53.63,55.1534,55.1534,55.1534,55.1729,20.2026,55.1798
Tue May 19 2026,0.0137,686.0,50.42,54.1541,54.154,54.1541,54.1742,19.3055,54.1886
Tue May 19 2026,0.0137,690.0,48.42,50.1567,50.1565,50.1567,50.1794,15.755,50.2413
Tue May 19 2026,0.0137,691.0,49.0,49.1574,49.1572,49.1574,49.1807,14.8769,49.2586
Tue May 19 2026,0.0137,693.0,46.0,47.1589,47.1586,47.1589,47.1835,13.1326,47.2978
Tue May 19 2026,0.0137,695.0,29.8,45.1608,45.1602,45.1608,45.1865,11.4044,45.3424
Tue May 19 2026,0.0137,697.0,41.59,43.1632,43.1622,43.1632,43.1899,9.6926,43.3919
Tue May 19 2026,0.0137,698.0,38.0,42.1646,42.1633,42.1646,42.1919,8.8429,42.4182
Tue May 19 2026,0.0137,700.0,38.69,40.1684,40.1663,40.1684,40.1966,7.1564,40.4733
Tue May 19 2026,0.0137,702.0,38.0,38.1738,38.1705,38.1738,38.2026,5.4872,38.5315
Tue May 19 2026,0.0137,704.0,34.56,36.1816,36.1765,36.1816,36.211,3.8356,36.5925
Tue May 19 2026,0.0137,708.0,30.93,32.2102,32.1989,32.2102,32.2397,0.5872,32.723
Tue May 19 2026,0.0137,709.0,26.64,31.2214,31.2078,31.2214,31.2507,0.0,31.758
Tue May 19 2026,0.0137,710.0,28.64,30.235,30.2187,30.235,30.2641,0.0,30.7945
Tue May 19 2026,0.0137,712.0,28.7,28.2705,28.2478,28.2705,28.2989,0.0,28.8727
Tue May 19 2026,0.0137,715.0,22.42,25.3532,25.3171,25.3532,25.3798,0.0,26.0099
Tue May 19 2026,0.0137,717.0,22.38,23.4353,23.3877,23.4353,23.4603,0.0,24.1216
